               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.027948,           0.0067027,          0.00051006,             0.88661,             0.95455,             0.98728,             0.78714,            0.014172,           0.0069202,          0.00042791,            0.005314,            0.005314,            0.005314
                 144,            0.027251,           0.0066894,           0.0010552,             0.89853,                   1,             0.99368,             0.76249,            0.016136,           0.0058333,          0.00046531,            0.005281,            0.005281,            0.005281
                 145,            0.027065,           0.0063531,          0.00079809,             0.93111,                   1,             0.99007,             0.77874,            0.015412,            0.005448,           0.0004851,            0.005248,            0.005248,            0.005248
                 146,            0.029396,           0.0062685,          0.00061429,              0.9806,             0.95402,             0.99243,              0.7719,            0.016308,           0.0052842,          0.00039663,            0.005215,            0.005215,            0.005215
                 147,            0.026747,           0.0071446,          0.00067436,             0.91804,             0.99153,             0.99191,             0.77662,            0.015734,           0.0057725,          0.00037888,            0.005182,            0.005182,            0.005182
                 148,            0.026797,           0.0065658,          0.00041156,              0.9445,             0.99874,             0.98914,             0.75812,            0.017115,           0.0053857,          0.00032045,            0.005149,            0.005149,            0.005149
                 149,            0.026125,           0.0065689,          0.00038394,             0.98898,             0.98148,             0.99397,             0.76923,            0.015881,           0.0050119,          0.00032563,            0.005116,            0.005116,            0.005116
                 150,            0.026645,           0.0064207,           0.0004438,             0.97495,                   1,             0.99107,             0.81011,            0.013888,           0.0047024,           0.0003703,            0.005083,            0.005083,            0.005083
                 151,            0.024919,           0.0066018,          0.00061477,             0.98656,                   1,               0.995,             0.80393,            0.013327,           0.0047315,          0.00038169,             0.00505,             0.00505,             0.00505
                 152,            0.025861,           0.0066658,          0.00070735,             0.98972,                   1,               0.995,             0.79849,            0.015351,           0.0053244,          0.00035966,            0.005017,            0.005017,            0.005017
                 153,             0.02539,           0.0063857,          0.00037823,             0.94937,                   1,             0.99315,             0.78029,            0.014807,           0.0048578,          0.00029763,            0.004984,            0.004984,            0.004984
                 154,            0.025666,           0.0063951,          0.00039434,             0.96706,             0.87398,              0.9797,             0.73494,            0.016326,           0.0065421,          0.00033315,            0.004951,            0.004951,            0.004951
                 155,             0.02807,           0.0063575,          0.00041847,             0.97771,             0.99717,             0.98321,             0.78086,            0.015732,           0.0046771,          0.00030944,            0.004918,            0.004918,            0.004918
